,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,49.0,2014-02-11,29-043,MIA,@,PHO,W (+6),1.0,40:59,12.0,22.0,0.545,2.0,5.0,0.4,11.0,14.0,0.786,1.0,8.0,9.0,3.0,5.0,0.0,4.0,2.0,37.0,30.6,8.0
49,50.0,2014-02-12,29-044,MIA,@,GSW,W (+1),1.0,42:16,14.0,26.0,0.538,4.0,8.0,0.5,4.0,7.0,0.571,1.0,12.0,13.0,9.0,2.0,0.0,2.0,1.0,36.0,32.4,-2.0
50,51.0,2014-02-18,29-050,MIA,@,DAL,W (+11),1.0,38:28,16.0,23.0,0.696,4.0,8.0,0.5,6.0,8.0,0.75,2.0,7.0,9.0,6.0,2.0,0.0,3.0,2.0,42.0,37.4,19.0
51,52.0,2014-02-20,29-052,MIA,@,OKC,W (+22),1.0,33:24,15.0,22.0,0.682,1.0,5.0,0.2,2.0,5.0,0.4,1.0,6.0,7.0,3.0,4.0,0.0,8.0,1.0,33.0,22.6,9.0
52,53.0,2014-02-27,29-059,MIA,,NYK,W (+26),1.0,36:38,13.0,19.0,0.684,1.0,2.0,0.5,4.0,6.0,0.667,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,31.0,25.1,21.0
53,54.0,2014-03-01,29-061,MIA,,ORL,W (+14),1.0,31:13,8.0,12.0,0.667,0.0,2.0,0.0,4.0,5.0,0.8,1.0,8.0,9.0,7.0,4.0,0.0,2.0,1.0,20.0,24.0,14.0
54,55.0,2014-03-03,29-063,MIA,,CHA,W (+17),1.0,41:12,22.0,33.0,0.667,8.0,10.0,0.8,9.0,12.0,0.75,3.0,4.0,7.0,4.0,0.0,0.0,2.0,2.0,61.0,48.8,16.0
55,56.0,2014-03-04,29-064,MIA,@,HOU,L (-3),1.0,36:38,9.0,18.0,0.5,0.0,3.0,0.0,4.0,6.0,0.667,1.0,0.0,1.0,6.0,3.0,0.0,1.0,1.0,22.0,18.7,-15.0
56,57.0,2014-03-06,29-066,MIA,@,SAS,L (-24),1.0,38:04,6.0,18.0,0.333,0.0,3.0,0.0,7.0,9.0,0.778,3.0,5.0,8.0,7.0,2.0,0.0,5.0,5.0,19.0,11.5,-10.0
57,58.0,2014-03-09,29-069,MIA,@,CHI,L (-7),1.0,45:19,8.0,23.0,0.348,1.0,3.0,0.333,0.0,0.0,,1.0,8.0,9.0,8.0,3.0,1.0,4.0,1.0,17.0,12.1,6.0
58,59.0,2014-03-10,29-070,MIA,,WAS,W (+9),1.0,36:45,10.0,15.0,0.667,3.0,4.0,0.75,0.0,0.0,,2.0,5.0,7.0,8.0,3.0,0.0,3.0,3.0,23.0,23.8,14.0
59,60.0,2014-03-12,29-072,MIA,,BRK,L (-1),1.0,38:03,6.0,13.0,0.462,1.0,4.0,0.25,6.0,9.0,0.667,0.0,5.0,5.0,7.0,3.0,0.0,5.0,1.0,19.0,15.1,2.0
60,61.0,2014-03-14,29-074,MIA,,DEN,L (-4),1.0,39:50,8.0,17.0,0.471,0.0,4.0,0.0,5.0,7.0,0.714,0.0,6.0,6.0,6.0,1.0,0.0,4.0,3.0,21.0,13.3,-8.0
61,62.0,2014-03-16,29-076,MIA,,HOU,W (+9),1.0,42:52,8.0,17.0,0.471,1.0,3.0,0.333,7.0,8.0,0.875,0.0,5.0,5.0,6.0,2.0,0.0,5.0,3.0,24.0,16.4,11.0
62,63.0,2014-03-18,29-078,MIA,@,CLE,W (+4),1.0,41:40,14.0,19.0,0.737,6.0,8.0,0.75,9.0,13.0,0.692,0.0,6.0,6.0,4.0,2.0,3.0,0.0,1.0,43.0,42.0,11.0
63,64.0,2014-03-21,29-081,MIA,,MEM,W (+5),1.0,38:01,7.0,14.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,7.0,2.0,1.0,3.0,0.0,15.0,14.4,4.0
64,65.0,2014-03-22,29-082,MIA,@,NOP,L (-10),1.0,41:59,10.0,18.0,0.556,2.0,4.0,0.5,3.0,3.0,1.0,1.0,7.0,8.0,9.0,0.0,1.0,3.0,1.0,25.0,22.8,-6.0
65,66.0,2014-03-24,29-084,MIA,,POR,W (+2),1.0,38:22,13.0,23.0,0.565,0.0,1.0,0.0,6.0,9.0,0.667,4.0,2.0,6.0,5.0,4.0,0.0,5.0,2.0,32.0,25.0,4.0
66,67.0,2014-03-26,29-086,MIA,@,IND,L (-1),1.0,43:24,11.0,19.0,0.579,2.0,6.0,0.333,14.0,15.0,0.933,0.0,8.0,8.0,5.0,0.0,0.0,6.0,3.0,38.0,27.4,2.0
67,68.0,2014-03-28,29-088,MIA,@,DET,W (+32),1.0,29:46,7.0,13.0,0.538,1.0,3.0,0.333,2.0,2.0,1.0,2.0,8.0,10.0,12.0,1.0,0.0,1.0,0.0,17.0,22.9,32.0
68,69.0,2014-03-29,29-089,MIA,@,MIL,W (+21),1.0,30:03,5.0,10.0,0.5,1.0,3.0,0.333,2.0,4.0,0.5,2.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0,13.0,7.1,19.0
69,70.0,2014-03-31,29-091,MIA,,TOR,W (+10),1.0,38:53,11.0,20.0,0.55,1.0,6.0,0.167,9.0,11.0,0.818,0.0,7.0,7.0,8.0,1.0,0.0,6.0,2.0,32.0,23.5,22.0
70,71.0,2014-04-02,29-093,MIA,,MIL,W (+19),1.0,29:21,7.0,12.0,0.583,1.0,3.0,0.333,2.0,5.0,0.4,0.0,4.0,4.0,8.0,1.0,1.0,2.0,0.0,17.0,16.7,18.0
71,72.0,2014-04-04,29-095,MIA,,MIN,L (-1),1.0,47:57,12.0,24.0,0.5,2.0,4.0,0.5,8.0,10.0,0.8,2.0,6.0,8.0,5.0,4.0,1.0,4.0,5.0,34.0,26.6,7.0
72,73.0,2014-04-06,29-097,MIA,,NYK,W (+11),1.0,42:47,13.0,22.0,0.591,3.0,7.0,0.429,9.0,12.0,0.75,0.0,5.0,5.0,6.0,1.0,0.0,5.0,0.0,38.0,28.3,2.0
73,74.0,2014-04-08,29-099,MIA,,BRK,L (-1),1.0,37:08,9.0,16.0,0.563,0.0,3.0,0.0,11.0,14.0,0.786,1.0,9.0,10.0,6.0,2.0,0.0,3.0,0.0,29.0,26.8,-2.0
74,75.0,2014-04-09,29-100,MIA,@,MEM,L (-5),1.0,41:22,14.0,23.0,0.609,3.0,5.0,0.6,6.0,7.0,0.857,1.0,5.0,6.0,5.0,2.0,0.0,5.0,1.0,37.0,28.4,-8.0
75,76.0,2014-04-11,29-102,MIA,,IND,W (+12),1.0,34:52,11.0,20.0,0.55,2.0,4.0,0.5,12.0,13.0,0.923,1.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,36.0,28.2,13.0
76,77.0,2014-04-12,29-103,MIA,@,ATL,L (-13),1.0,37:21,10.0,22.0,0.455,3.0,7.0,0.429,4.0,8.0,0.5,3.0,5.0,8.0,5.0,0.0,1.0,3.0,2.0,27.0,18.0,-13.0
