G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,FTR,hAST%,TOV%,AST-TOV,DREB%,OREB%,POSS,Year_Number,GmSc-Per-PTS,GmSc-Per-FT,FTR-Per-FGA,PTS-Per-TOV,PTS-Per-POSS,game_result-Per-PTS,PER,PER-Per-PTS,STLS-and-BLKS,STL-BLK-Per-PF,Won,High-3P%-Shooting,High-FG%-Shooting,Over-3-BLKs-and-STLs,Played-Above-Avg-Min,Above-Avg-FT%,Career-Stage,Above-Avg-PTS-Per-POSS,More-BLKs-Than-STLs,More-AST-Than-TOV,PTS-Cat,2P,2PA,2P%,2P%-Above-50%,More than 3 Fouls,FTR-Above-Avg,Less-Than-3-TOV
32,2003-12-30,19,CLE,1,IND,-3,1.0,38,9.0,20.0,0.45,0.0,4.0,0.0,4.0,6.0,0.667,2.0,8.0,10.0,4.0,0.0,0.0,4.0,2.0,22.0,12.6,-2.0,0.48140043763676144,0.2,0.12965964343598055,0.12965964343598055,1.0,0.8,0.2,24.64,1,0.5727272727272728,3.15,0.01,5.5,0.8928571428571428,-0.13636363636363635,15.108052631578946,0.6867296650717702,0.0,0.0,False,False,False,False,True,False,rising,False,False,False,below 35,9.0,16.0,0.5625,True,False,False,False
33,2004-01-02,19,CLE,0,NJN,-15,1.0,36,6.0,19.0,0.316,0.0,4.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,9.0,1.0,0.0,3.0,2.0,14.0,7.4,-14.0,0.3349282296650718,0.10526315789473684,0.27355623100303955,0.0911854103343465,3.0,0.75,0.25,22.76,2,0.5285714285714286,3.7,0.00554016620498615,4.666666666666667,0.6151142355008787,-1.0714285714285714,8.687777777777786,0.6205555555555561,1.0,0.3333333333333333,False,False,False,False,False,False,rising,False,False,True,below 20,6.0,15.0,0.4,False,False,False,False
34,2004-01-06,19,CLE,1,NYK,11,1.0,41,6.0,17.0,0.353,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,10.0,1.0,1.0,4.0,1.0,14.0,10.0,10.0,0.38997214484679665,0.11764705882352941,0.3129890453834116,0.12519561815336464,2.5,1.0,0.0,21.88,2,0.7142857142857143,5.0,0.006920415224913495,3.5,0.6398537477148081,0.7857142857142857,10.82885365853659,0.7734895470383278,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 20,6.0,15.0,0.4,False,False,False,False
35,2004-01-07,19,CLE,0,TOR,-6,1.0,38,10.0,23.0,0.435,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,2.0,3.0,21.0,9.4,-2.0,0.4384133611691023,0.043478260869565216,0.16155088852988692,0.06462035541195477,2.5,1.0,0.0,25.88,2,0.44761904761904764,9.4,0.001890359168241966,10.5,0.8114374034003091,-0.2857142857142857,11.04913157894737,0.5261491228070175,0.0,0.0,False,False,False,False,True,False,rising,False,False,True,below 35,10.0,20.0,0.5,False,False,False,True
36,2004-01-09,19,CLE,0,BOS,-25,1.0,42,7.0,19.0,0.368,0.0,3.0,0.0,5.0,7.0,0.7140000000000001,0.0,3.0,3.0,6.0,3.0,0.0,5.0,1.0,19.0,10.4,-30.0,0.425531914893617,0.2631578947368421,0.1800450112528132,0.15003750937734434,1.2,1.0,0.0,27.08,2,0.5473684210526316,2.08,0.013850415512465374,3.8,0.7016248153618907,-1.3157894736842106,10.770190476190477,0.5668521303258146,3.0,0.6,False,False,False,False,True,False,rising,False,False,True,below 20,7.0,16.0,0.4375,False,False,False,False
37,2004-01-12,19,CLE,0,LAL,-10,1.0,36,6.0,20.0,0.3,0.0,3.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,7.0,1.0,1.0,6.0,3.0,16.0,5.3,3.0,0.3575418994413408,0.2,0.1978798586572438,0.1696113074204947,1.1666666666666667,0.8,0.2,27.2,2,0.33125,1.325,0.01,2.6666666666666665,0.5882352941176471,-0.625,5.361916666666677,0.33511979166666733,2.0,0.3333333333333333,False,False,False,False,False,True,rising,False,False,True,below 20,6.0,17.0,0.35294117647058826,False,False,False,False
38,2004-01-13,19,CLE,0,SEA,8,1.0,43,11.0,26.0,0.423,0.0,1.0,0.0,5.0,6.0,0.833,4.0,5.0,9.0,9.0,2.0,0.0,4.0,2.0,27.0,20.6,11.0,0.4679376083188908,0.19230769230769232,0.21505376344086022,0.09557945041816009,2.25,0.5555555555555556,0.4444444444444444,28.64,2,0.7629629629629631,4.12,0.007396449704142012,6.75,0.9427374301675977,0.2962962962962963,22.5939534883721,0.8368130921619297,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 35,11.0,25.0,0.44,False,False,False,False
39,2004-01-15,19,CLE,0,GSW,-17,1.0,43,8.0,21.0,0.381,2.0,5.0,0.4,11.0,13.0,0.846,2.0,4.0,6.0,6.0,3.0,0.0,2.0,0.0,29.0,24.5,-14.0,0.5335786568537259,0.5238095238095238,0.1705756929637527,0.056858564321250894,3.0,0.6666666666666666,0.3333333333333333,26.72,2,0.8448275862068966,2.227272727272727,0.024943310657596373,14.5,1.0853293413173652,-0.5862068965517241,26.874511627906966,0.9267072975140332,3.0,1.5,False,False,False,False,True,True,rising,True,False,True,below 35,6.0,16.0,0.375,False,False,True,True
40,2004-01-17,19,CLE,0,UTA,6,1.0,44,12.0,28.0,0.429,2.0,4.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,2.0,2.0,1.0,4.0,2.0,29.0,15.2,8.0,0.4773662551440329,0.10714285714285714,0.054982817869415807,0.10996563573883161,0.5,0.8571428571428571,0.14285714285714285,33.2,2,0.5241379310344827,5.066666666666666,0.003826530612244898,7.25,0.8734939759036143,0.20689655172413793,15.945022727272736,0.5498283699059564,3.0,0.75,True,True,False,False,True,False,rising,False,False,False,below 35,10.0,24.0,0.4166666666666667,False,False,False,False
41,2004-01-26,19,CLE,1,ORL,1,1.0,29,7.0,19.0,0.368,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,3.0,0.0,2.0,3.0,4.0,16.0,5.5,-10.0,0.4010025062656642,0.05263157894736842,0.11560693641618497,0.11560693641618497,1.0,1.0,0.0,22.88,2,0.34375,5.5,0.002770083102493075,5.333333333333333,0.6993006993006994,0.0625,8.10896551724138,0.5068103448275862,2.0,0.6666666666666666,True,True,False,False,False,False,rising,False,True,False,below 20,6.0,17.0,0.35294117647058826,False,True,False,False
